"","response_uuid","Trial_tot","Age","Usable frames (%)","novel_good_avg","Stimulus.type"
"127","388e70f5-902e-4197-9bf0-61e5f32de097","2","12",0.702479338842975,0.6489651416122,"Social"
"128","388e70f5-902e-4197-9bf0-61e5f32de097","3","12",0.87603305785124,0.581536388140162,"Social"
"129","388e70f5-902e-4197-9bf0-61e5f32de097","4","12",0.669421487603306,0.777882402176187,"Nonsocial"
"130","388e70f5-902e-4197-9bf0-61e5f32de097","5","12",0.466942148760331,0.476742931146126,"Social"
"131","388e70f5-902e-4197-9bf0-61e5f32de097","6","12",0.703703703703704,0.532163742690059,"Nonsocial"
"132","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","1","6",0.90495867768595,0.484018264840183,"Nonsocial"
"133","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","2","6",0.330578512396694,0.6625,"Social"
"134","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","3","6",0.504132231404959,0.0491803278688525,"Social"
"135","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","4","6",0.491735537190083,0.327731092436975,"Nonsocial"
"136","48444209-fd3a-4173-8854-366e6f1bb582","1","12",0.82716049382716,0.454535574554412,"Social"
"137","48444209-fd3a-4173-8854-366e6f1bb582","3","12",0.690082644628099,0.560650628567427,"Nonsocial"
"138","48444209-fd3a-4173-8854-366e6f1bb582","4","12",0.68724279835391,0.345121351499899,"Social"
"139","48444209-fd3a-4173-8854-366e6f1bb582","5","12",0.830578512396694,0.295567616463139,"Nonsocial"
"140","484c17b3-9364-461b-80e7-1e3a2715ee8e","1","12",0.632231404958678,0.544536271808999,"Social"
"141","484c17b3-9364-461b-80e7-1e3a2715ee8e","2","12",0.574380165289256,0.41726618705036,"Nonsocial"
"142","484c17b3-9364-461b-80e7-1e3a2715ee8e","3","12",0.545454545454545,0.765151515151515,"Nonsocial"
"143","484c17b3-9364-461b-80e7-1e3a2715ee8e","4","12",0.557851239669422,0.249317738791423,"Social"
"144","484c17b3-9364-461b-80e7-1e3a2715ee8e","5","12",0.491735537190083,0.485811715990744,"Nonsocial"
"145","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","1","6",0.979423868312757,0.483193277310924,"Nonsocial"
"146","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","2","6",0.776859504132231,0.36807507025291,"Social"
"147","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","3","6",0.528925619834711,0.625,"Social"
"148","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","4","6",0.673553719008264,0.147239263803681,"Nonsocial"
"149","541b92ea-6a83-4026-b6ff-72575cba1785","1","12",0.723140495867769,0.685666400638468,"Social"
"150","541b92ea-6a83-4026-b6ff-72575cba1785","2","12",0.822314049586777,0.67959740901037,"Nonsocial"
